  name            status  full name                                                                     parent          year    company         hardware        remarks
+---------------+-------+-----------------------------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 1941          |       | 1941 - Counter Attack (World)                                               |               | 1990  | Capcom        | CPS1          |                                       |
| ringdest      |       | Ring of Destruction - slammasters II (940902 Euro)                          |               | 1994  | Capcom        | CPS2          |                                       |
| riot          |       | Riot                                                                        |               | 1992  | NMK           | Miscellaneous |                                       |
| roboarma      |       | Robo Army (set 2)                                                           | roboarmy      | 1991  | SNK           | Neo Geo       |                                       |
| roboarmy      |       | Robo Army (set 1)                                                           |               | 1991  | SNK           | Neo Geo       |                                       |
| rockmanj      |       | Rockman - the power battle (950922 Japan)                                   | megaman       | 1995  | Capcom        | CPS1          |                                       |
| rotd          |       | Rage of the Dragons                                                         |               | 2002  | Evoga / Playm | Neo Geo       |                                       |
| ryukenda      |       | Ninja Ryukenden (Japan, set 2)                                              | shadoww       | 1989  | Tecmo         | Miscellaneous |                                       |
| ryukendn      |       | Ninja Ryukenden (Japan, set 1)                                              | shadoww       | 1989  | Tecmo         | Miscellaneous |                                       |
| s1945p        |       | Strikers 1945 plus                                                          |               | 1999  | Psikyo        | Neo Geo       |                                       |
| sailormn      |       | Pretty Soldier Sailor Moon (version 95/03/22B)                              |               | 1995  | BanPresto / G | Cave          |                                       |
| sailormo      |       | Pretty Soldier Sailor Moon (version 95/03/22)                               | sailormn      | 1995  | BanPresto / G | Cave          |                                       |
| samsh5sh      |       | Samurai Shodown V Special (set 2, censored)                                 | samsh5sp      | 2003  | Yuki Enterpri | Neo Geo       |                                       |
| samsh5sn      |       | Samurai Shodown V Special (set 3, less censored)                            | samsh5sp      | 2003  | Yuki Enterpri | Neo Geo       |                                       |
| samsh5sp      |       | Samurai Shodown V Special (set 1, uncensored)                               |               | 2003  | Yuki Enterpri | Neo Geo       |                                       |
| samsho2       |       | Samurai Shodown II                                                          |               | 1994  | SNK           | Neo Geo       |                                       |
| samsho3a      |       | Samurai Shodown III (set 2)                                                 | samsho3       | 1995  | SNK           | Neo Geo       |                                       |
| samsho3       |       | Samurai Shodown III (set 1)                                                 |               | 1995  | SNK           | Neo Geo       |                                       |
| samsho4       |       | Samurai Shodown IV - Amakusa's revenge                                      |               | 1996  | SNK           | Neo Geo       |                                       |
| samsho5b      |       | Samurai Shodown V (bootleg)                                                 | samsho5       | 2003  | bootleg       | Neo Geo       |                                       |
| samsho5h      |       | Samurai Shodown V (set 2)                                                   | samsho5       | 2003  | Yuki Enterpri | Neo Geo       |                                       |
| samsho5       |       | Samurai Shodown V (set 1)                                                   |               | 2003  | Yuki Enterpri | Neo Geo       |                                       |
| samsho        |       | Samurai Shodown                                                             |               | 1993  | SNK           | Neo Geo       |                                       |
| savagere      |       | Savage Reign                                                                |               | 1995  | SNK           | Neo Geo       |                                       |
| sdfight       |       | SD Fighters (Korea)                                                         |               | 1996  | SemiCom       | Miscellaneous |                                       |
| sdodgeb       |       | Super Dodge Ball                                                            |               | 1996  | Technos       | Neo Geo       |                                       |
| semibase      |       | MuHanSeungBu (SemiCom Baseball) (Korea)                                     |               | 1997  | SemiCom       | Miscellaneous |                                       |
| sengokh       |       | Sengoku (set 2)                                                             | sengoku       | 1991  | SNK           | Neo Geo       |                                       |
| sengoku2      |       | Sengoku 2                                                                   |               | 1993  | SNK           | Neo Geo       |                                       |
| sengoku3      |       | Sengoku 3                                                                   |               | 2001  | SNK           | Neo Geo       |                                       |
| sengoku       |       | Sengoku (set 1)                                                             |               | 1991  | SNK           | Neo Geo       |                                       |
| sf2accp2      |       | Street Fighter II' - champion edition (Hack - Accelerator Pt.II)            | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2cej        |       | Street Fighter II' - champion edition (street fighter 2' 920513 Japan)      | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2ce         |       | Street Fighter II' - champion edition (street fighter 2' 920313 etc)        |               | 1992  | Capcom        | CPS1          |                                       |
| sf2ceua       |       | Street Fighter II' - champion edition (street fighter 2' 920313 USA)        | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2ceub       |       | Street Fighter II' - champion edition (street fighter 2' 920513 USA)        | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2ceuc       |       | Street Fighter II' - champion edition (street fighter 2' 920803 USA)        | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2eb         |       | Street Fighter II - the world warrior (910214 etc)                          | sf2           | 1991  | Capcom        | CPS1          |                                       |
| sf2hf         |       | Street Fighter II' - hyper fighting (street fighter 2' T 921209 ETC)        | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2ja         |       | Street Fighter II - the world warrior (910214 Japan)                        | sf2           | 1991  | Capcom        | CPS1          |                                       |
| sf2jc         |       | Street Fighter II - the world warrior (910306 Japan)                        | sf2           | 1991  | Capcom        | CPS1          |                                       |
| sf2j          |       | Street Fighter II - the world warrior (911210 Japan)                        | sf2           | 1991  | Capcom        | CPS1          |                                       |
| sf2koryu      |       | Street Fighter II' - champion edition (Hack - kouryu)                       | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2m2         |       | Street Fighter II' - champion edition (Hack - M-2)                          | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2m4         |       | Street Fighter II' - champion edition (Hack - M-4)                          | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2m5         |       | Street Fighter II' - champion edition (Hack - M-5)                          | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2m6         |       | Street Fighter II' - champion edition (Hack - M-6)                          | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2m7         |       | Street Fighter II' - champion edition (Hack - M-7)                          | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2rb2        |       | Street Fighter II' - champion edition (Hack - Rainbow set 2)                | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2rb         |       | Street Fighter II' - champion edition (Hack - Rainbow set 1)                | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2red        |       | Street Fighter II' - champion edition (Hack - Red Wave)                     | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2           |       | Street Fighter II - the world warrior (910522 etc)                          |               | 1991  | Capcom        | CPS1          |                                       |
| sf2tj         |       | Street Fighter II' Turbo - hyper fighting (street fighter 2' T 921209 Japan | sf2hf         | 1992  | Capcom        | CPS1          |                                       |
| sf2t          |       | Street Fighter II' - hyper fighting (street fighter 2' T 921209 USA)        | sf2hf         | 1992  | Capcom        | CPS1          |                                       |
| sf2ua         |       | Street Fighter II - the world warrior (910206 USA)                          | sf2           | 1991  | Capcom        | CPS1          |                                       |
| sf2ub         |       | Street Fighter II - the world warrior (910214 USA)                          | sf2           | 1991  | Capcom        | CPS1          |                                       |
| sf2ud         |       | Street Fighter II - the world warrior (910318 USA)                          | sf2           | 1991  | Capcom        | CPS1          |                                       |
| sf2ue         |       | Street Fighter II - the world warrior (910228 USA)                          | sf2           | 1991  | Capcom        | CPS1          |                                       |
| sf2uf         |       | Street Fighter II - the world warrior (910411 USA)                          | sf2           | 1991  | Capcom        | CPS1          |                                       |
| sf2ui         |       | Street Fighter II - the world warrior (910522 USA)                          | sf2           | 1991  | Capcom        | CPS1          |                                       |
| sf2uk         |       | Street Fighter II - the world warrior (911101 USA)                          | sf2           | 1991  | Capcom        | CPS1          |                                       |
| sf2v004       |       | Street Fighter II' - champion edition (Hack - V004)                         | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sf2yyc        |       | Street Fighter II' - champion edition (Hack - YYC)                          | sf2ce         | 1992  | Capcom        | CPS1          |                                       |
| sfa2          |       | Street Fighter Alpha 2 (960306 USA)                                         |               | 1996  | Capcom        | CPS2          |                                       |
| sfa3b         |       | Street Fighter Alpha 3 (980629 Brazil)                                      | sfa3          | 1998  | Capcom        | CPS2          |                                       |
| sfa3r1        |       | Street Fighter Alpha 3 (980629 USA)                                         | sfa3          | 1998  | Capcom        | CPS2          |                                       |
| sfa3          |       | Street Fighter Alpha 3 (980904 USA)                                         |               | 1998  | Capcom        | CPS2          |                                       |
| sfach         |       | Street Fighter Alpha (950727 CPS Changer)                                   | sfzch         | 1995  | Capcom        | CPS Changer   |                                       |
| sfar1         |       | Street Fighter Alpha - warriors' dreams (950718 Euro)                       | sfa           | 1995  | Capcom        | CPS2          |                                       |
| sfar2         |       | Street Fighter Alpha - warriors' dreams (950627 Euro)                       | sfa           | 1995  | Capcom        | CPS2          |                                       |
| sfar3         |       | Street Fighter Alpha - warriors' dreams (950605 Euro)                       | sfa           | 1995  | Capcom        | CPS2          |                                       |
| sfa           |       | Street Fighter Alpha - warriors' dreams (950727 Euro)                       |               | 1995  | Capcom        | CPS2          |                                       |
| sfau          |       | Street Fighter Alpha - warriors' dreams (950627 USA)                        | sfa           | 1995  | Capcom        | CPS2          |                                       |
| sfz2aa        |       | Street Fighter Zero 2 Alpha (960826 Asia)                                   | sfa2          | 1996  | Capcom        | CPS2          |                                       |
| sfz2ab        |       | Street Fighter Zero 2 Alpha (960813 Brazil)                                 | sfz2aa        | 1996  | Capcom        | CPS2          |                                       |
| sfz2ah        |       | Street Fighter Zero 2 Alpha (960813 Hispanic)                               | sfz2aa        | 1996  | Capcom        | CPS2          |                                       |
| sfz2aj        |       | Street Fighter Zero 2 Alpha (960805 Japan)                                  | sfz2aa        | 1996  | Capcom        | CPS2          |                                       |
| sfz2a         |       | Street Fighter Zero 2 (960227 Asia)                                         | sfa2          | 1996  | Capcom        | CPS2          |                                       |
| sfz2br1       |       | Street Fighter Zero 2 (960304 Brazil)                                       | sfa2          | 1996  | Capcom        | CPS2          |                                       |
| sfz2b         |       | Street Fighter Zero 2 (960531 Brazil)                                       | sfa2          | 1996  | Capcom        | CPS2          |                                       |
| sfz2h         |       | Street Fighter Zero 2 (960304 Hispanic)                                     | sfa2          | 1996  | Capcom        | CPS2          |                                       |
| sfz2j         |       | Street Fighter Zero 2 (960227 Japan)                                        | sfa2          | 1996  | Capcom        | CPS2          |                                       |
| sfz2n         |       | Street Fighter Zero 2 (960229 Oceania)                                      | sfa2          | 1996  | Capcom        | CPS2          |                                       |
| sfz3ar1       |       | Street Fighter Zero 3 (980701 Asia)                                         | sfa3          | 1998  | Capcom        | CPS2          |                                       |
| sfz3a         |       | Street Fighter Zero 3 (980904 Asia)                                         | sfa3          | 1998  | Capcom        | CPS2          |                                       |
| sfz3jr1       |       | Street Fighter Zero 3 (980727 Japan)                                        | sfa3          | 1998  | Capcom        | CPS2          |                                       |
| sfz3jr2       |       | Street Fighter Zero 3 (980629 Japan)                                        | sfa3          | 1998  | Capcom        | CPS2          |                                       |
| sfz3j         |       | Street Fighter Zero 3 (980904 Japan)                                        | sfa3          | 1998  | Capcom        | CPS2          |                                       |
| sfza          |       | Street Fighter Zero (950627 Asia)                                           | sfa           | 1995  | Capcom        | CPS2          |                                       |
| sfzbr1        |       | Street Fighter Zero (950727 Brazil)                                         | sfa           | 1995  | Capcom        | CPS2          |                                       |
| sfzb          |       | Street Fighter Zero (951109 Brazil)                                         | sfa           | 1995  | Capcom        | CPS2          |                                       |
| sfzch         |       | Street Fighter Zero (951020 CPS Changer)                                    |               | 1995  | Capcom        | CPS Changer   |                                       |
| sfzh          |       | Street Fighter Zero (950627 Hispanic)                                       | sfa           | 1995  | Capcom        | CPS2          |                                       |
| sfzjr1        |       | Street Fighter Zero (950627 Japan)                                          | sfa           | 1995  | Capcom        | CPS2          |                                       |
| sfzjr2        |       | Street Fighter Zero (950605 Japan)                                          | sfa           | 1995  | Capcom        | CPS2          |                                       |
| sfzj          |       | Street Fighter Zero (950727 Japan)                                          | sfa           | 1995  | Capcom        | CPS2          |                                       |
| sgemfa        |       | Super Gem Fighter Mini Mix (970904 Asia)                                    | sgemf         | 1997  | Capcom        | CPS2          |                                       |
| sgemfh        |       | Super Gem Fighter Mini Mix (970904 Hispanic)                                | sgemf         | 1997  | Capcom        | CPS2          |                                       |
| sgemf         |       | Super Gem Fighter Mini Mix (970904 USA)                                     |               | 1997  | Capcom        | CPS2          |                                       |
| shadowwa      |       | Shadow Warriors (World, set 2)                                              | shadoww       | 1988  | Tecmo         | Miscellaneous |                                       |
| shadoww       |       | Shadow Warriors (World, set 1)                                              |               | 1988  | Tecmo         | Miscellaneous |                                       |
| shippumd      |       | Shippu Mahou Daisakusen - kingdom grandprix (Japan)                         |               | 1994  | Raizing / 8in | Toaplan GP900 |                                       |
| shocktr2      |       | Shock Troopers - 2nd squad                                                  |               | 1998  | Saurus        | Neo Geo       |                                       |
| shocktra      |       | Shock Troopers (set 2)                                                      | shocktro      | 1997  | Saurus        | Neo Geo       |                                       |
| shocktro      |       | Shock Troopers (set 1)                                                      |               | 1997  | Saurus        | Neo Geo       |                                       |
| slammast      |       | Saturday Night Slam Masters (Slam Masters 930713 etc)                       |               | 1993  | Capcom        | CPS1          |                                       |
| slammasu      |       | Saturday Night Slam Masters (slam masters 930713 USA)                       | slammast      | 1993  | Capcom        | CPS1          |                                       |
| smbombr1      |       | Super Muscle Bomber - the international blowout (940808 Japan)              | ringdest      | 1994  | Capcom        | CPS2          |                                       |
| smbomb        |       | Super Muscle Bomber - the international blowout (940831 Japan)              | ringdest      | 1994  | Capcom        | CPS2          |                                       |
| snowbro2      |       | Snow Bros. 2 - with new elves                                               |               | 1994  | [Toaplan] Han | Toaplan GP900 |                                       |
| snowbro3      |       | Snow Brothers 3 - Magical Adventure                                         | snowbros      | 2002  | bootleg       | Kaneko Pandor |                                       |
| snowbroa      |       | Snow Bros. - Nick & Tom (set 2)                                             | snowbros      | 1990  | Toaplan       | Kaneko Pandor |                                       |
| snowbrob      |       | Snow Bros. - Nick & Tom (set 3)                                             | snowbros      | 1990  | Toaplan       | Kaneko Pandor |                                       |
| snowbroc      |       | Snow Bros. - Nick & Tom (set 4)                                             | snowbros      | 1990  | Toaplan       | Kaneko Pandor |                                       |
| snowbroj      |       | Snow Bros. - Nick & Tom (Japan)                                             | snowbros      | 1990  | Toaplan       | Kaneko Pandor |                                       |
| snowbros      |       | Snow Bros. - Nick & Tom (set 1)                                             |               | 1990  | Toaplan       | Kaneko Pandor |                                       |
| socbrawl      |       | Soccer Brawl                                                                |               | 1991  | SNK           | Neo Geo       |                                       |
| sonicwi2      |       | Aero Fighters 2                                                             |               | 1994  | Video System  | Neo Geo       |                                       |
| sonicwi3      |       | Aero Fighters 3                                                             |               | 1995  | Video System  | Neo Geo       |                                       |
| spf2ta        |       | Super Puzzle Fighter II Turbo (Super Puzzle Fighter 2 Turbo 960529 Asia)    | spf2t         | 1996  | Capcom        | CPS2          |                                       |
| spf2t         |       | Super Puzzle Fighter II Turbo (Super Puzzle Fighter 2 Turbo 960620 USA)     |               | 1996  | Capcom        | CPS2          |                                       |
| spf2xj        |       | Super Puzzle Fighter II X (Super Puzzle Fighter 2 X 960531 Japan)           | spf2t         | 1996  | Capcom        | CPS2          |                                       |
| spinlbrj      |       | Spinal Breakers (Japan)                                                     | spinlbrk      | 1990  | V-System Co.  | V-System      |                                       |
| spinlbrk      |       | Spinal Breakers (World)                                                     |               | 1990  | V-System Co.  | V-System      |                                       |
| spinlbru      |       | Spinal Breakers (US)                                                        | spinlbrk      | 1990  | V-System Co.  | V-System      |                                       |
| spinmast      |       | Spin Master                                                                 |               | 1993  | Data East Cor | Neo Geo       |                                       |
| ssf2ar1       |       | Super Street Fighter II - the new challengers (super street fighter 2 93091 | ssf2          | 1993  | Capcom        | CPS2          |                                       |
| ssf2a         |       | Super Street Fighter II - the new challengers (super street fighter 2 93100 | ssf2          | 1993  | Capcom        | CPS2          |                                       |
| ssf2jr1       |       | Super Street Fighter II - the new challengers (super street fighter 2 93091 | ssf2          | 1993  | Capcom        | CPS2          |                                       |
| ssf2jr2       |       | Super Street Fighter II - the new challengers (super street fighter 2 93091 | ssf2          | 1993  | Capcom        | CPS2          |                                       |
| ssf2j         |       | Super Street Fighter II - the new challengers (super street fighter 2 93100 | ssf2          | 1993  | Capcom        | CPS2          |                                       |
| ssf2          |       | Super Street Fighter II - the new challengers (super street fighter 2 93091 |               | 1993  | Capcom        | CPS2          |                                       |
| ssf2ta        |       | Super Street Fighter II Turbo (super street fighter 2 X 940223 Asia)        | ssf2t         | 1994  | Capcom        | CPS2          |                                       |
| ssf2tbj       |       | Super Street Fighter II - the tournament battle (930911 Japan)              | ssf2          | 1993  | Capcom        | CPS2          | Linkup feature not implemented        |
| ssf2tbr1      |       | Super Street Fighter II - the tournament battle (930911 etc)                | ssf2          | 1993  | Capcom        | CPS2          | Linkup feature not implemented        |
| ssf2tb        |       | Super Street Fighter II - the tournament battle (931119 etc)                | ssf2          | 1993  | Capcom        | CPS2          | Linkup feature not implemented        |
| ssf2t         |       | Super Street Fighter II Turbo (super street fighter 2 X 940223 etc)         | ssf2          | 1994  | Capcom        | CPS2          |                                       |
| ssf2tur1      |       | Super Street Fighter II Turbo (super street fighter 2 X 940223 USA)         | ssf2t         | 1994  | Capcom        | CPS2          |                                       |
| ssf2tu        |       | Super Street Fighter II Turbo (super street fighter 2 X 940323 USA)         | ssf2t         | 1994  | Capcom        | CPS2          |                                       |
| ssf2u         |       | Super Street Fighter II - the new challengers (super street fighter 2 93091 | ssf2          | 1993  | Capcom        | CPS2          |                                       |
| ssf2xj        |       | Super Street Fighter II X - grand master challenge (super street fighter 2  | ssf2t         | 1994  | Capcom        | CPS2          |                                       |
| ssideki2      |       | Super Sidekicks 2 - the world championship                                  |               | 1994  | SNK           | Neo Geo       |                                       |
| ssideki3      |       | Super Sidekicks 3 - the next glory                                          |               | 1995  | SNK           | Neo Geo       |                                       |
| ssideki4      |       | The Ultimate 11 - SNK football championship                                 |               | 1996  | SNK           | Neo Geo       |                                       |
| ssideki       |       | Super Sidekicks                                                             |               | 1992  | SNK           | Neo Geo       |                                       |
| sstriker      |       | Sorcer Striker (World)                                                      | mahoudai      | 1993  | Raizing       | Toaplan GP900 |                                       |
| sstrikra      |       | Sorcer Striker (World, alt)                                                 | mahoudai      | 1993  | Raizing       | Toaplan GP900 |                                       |
| stakwin2      |       | Stakes Winner 2                                                             |               | 1996  | Saurus        | Neo Geo       |                                       |
| stakwin       |       | Stakes Winner                                                               |               | 1995  | Saurus        | Neo Geo       |                                       |
| stratof       |       | Raiga - Strato Fighter (US)                                                 |               | 1991  | Tecmo         | Miscellaneous |                                       |
| strhoop       |       | Street Hoop                                                                 |               | 1994  | Data East Cor | Neo Geo       |                                       |
| striderj      |       | Strider Hiryu (Japan set 1)                                                 | strider       | 1989  | Capcom        | CPS1          |                                       |
| strider       |       | Strider (US set 1)                                                          |               | 1989  | Capcom        | CPS1          |                                       |
| stridrja      |       | Strider Hiryu (Japan set 2)                                                 | strider       | 1989  | Capcom        | CPS1          |                                       |
| stridrua      |       | Strider (US set 2)                                                          | strider       | 1989  | Capcom        | CPS1          |                                       |
| superman      |       | Superman                                                                    |               | 1988  | Taito         | Taito X Syste |                                       |
| superspy      |       | The Super Spy                                                               |               | 1990  | SNK           | Neo Geo       |                                       |
| supmodel      |       | Super Model                                                                 |               | 1994  | Comad / New J | Miscellaneous |                                       |
| suprmanj      |       | Superman (Japan)                                                            | superman      | 1988  | Taito         | Taito X Syste |                                       |
| suprtrio      |       | Super Trio                                                                  |               | 1994  | Gameace       | Miscellaneous |                                       |
| svcboot       |       | SvC Chaos - SNK vs Capcom (MVS, bootleg)                                    | svc           | 2003  | bootleg       | Neo Geo       | bootleg of "SvC Chaos - SNK vs Capcom |
| svcpcba       |       | SvC Chaos - SNK vs Capcom (JAMMA PCB, set 2)                                | svcpcb        | 2003  | SNK Playmore  | Neo Geo       |                                       |
| svcpcb        |       | SvC Chaos - SNK vs Capcom (JAMMA PCB, set 1)                                |               | 2003  | SNK Playmore  | Neo Geo       |                                       |
| svcplusa      |       | SvC Chaos - SNK vs Capcom Plus (bootleg, set 2)                             | svcplus       | 2003  | bootleg       | Neo Geo       | bootleg of "SvC Chaos - SNK vs Capcom |
| svcplus       |       | SvC Chaos - SNK vs Capcom Plus (bootleg, set 1)                             | svc           | 2003  | bootleg       | Neo Geo       | bootleg of "SvC Chaos - SNK vs Capcom |
| svcsplus      |       | SvC Chaos - SNK vs Capcom Super Plus (bootleg)                              | svc           | 2003  | bootleg       | Neo Geo       | bootleg of "SvC Chaos - SNK vs Capcom |
| svc           |       | SvC Chaos - SNK vs Capcom (MVS)                                             |               | 2003  | SNK Playmore  | Neo Geo       |                                       |
| swatpolc      |       | SWAT Police                                                                 |               | 2001  | ESD           | Miscellaneous |                                       |
| tangtang      |       | Tang Tang (ver. 0526, 26/05/2000)                                           |               | 2000  | ESD           | Miscellaneous |                                       |
| tekipaki      |       | Teki Paki                                                                   |               | 1991  | Toaplan       | Toaplan GP900 | No sound (sound MCU not dumped)       |
| theroes       |       | Thunder Heroes                                                              |               | 2001  | Primetek Inve | Cave          |                                       |
| tknight       |       | Tecmo Knight                                                                | wildfang      | 1989  | Tecmo         | Miscellaneous |                                       |
| tophunta      |       | Top Hunter - Roddy & Cathy (set 2)                                          | tophuntr      | 1994  | SNK           | Neo Geo       |                                       |
| tophuntr      |       | Top Hunter - Roddy & Cathy (set 1)                                          |               | 1994  | SNK           | Neo Geo       |                                       |
| toppyrap      |       | Toppy & Rappy                                                               |               | 1996  | SemiCom       | Kaneko Pandor |                                       |
| tpgolf        |       | Top Player's Golf                                                           |               | 1990  | SNK           | Neo Geo       |                                       |
| trally        |       | Thrash Rally                                                                |               | 1991  | Alpha Denshi  | Neo Geo       |                                       |
| truxton2      |       | Truxton II                                                                  |               | 1992  | Toaplan       | Toaplan GP900 |                                       |
| truxton       |       | Truxton                                                                     |               | 1988  | [Toaplan] Tai | Toaplan BCU-2 |                                       |
| tumbleb2      |       | Tumble Pop (bootleg set 2)                                                  | tumblep       | 1991  | bootleg       | Miscellaneous |                                       |
| tumbleb       |       | Tumble Pop (bootleg set 1)                                                  | tumblep       | 1991  | bootleg       | Miscellaneous |                                       |
| tumblep       |       | Tumble Pop (World)                                                          |               | 1991  | Data East Cor | Miscellaneous |                                       |
| turbofrc      |       | Turbo Force                                                                 |               | 1991  | Video System  | Video System  |                                       |
| turfmast      |       | Neo Turf Masters                                                            |               | 1996  | Nazca         | Neo Geo       |                                       |
| twinadvk      |       | Twin Adventure (Korea)                                                      | twinadv       | 1995  | Barko Corp    | Kaneko Pandor |                                       |
| twinadv       |       | Twin Adventure (World)                                                      |               | 1995  | Barko Corp    | Kaneko Pandor |                                       |
| twinhawk      |       | Twin Hawk (World)                                                           |               | 1989  | Taito         | Taito X Syste |                                       |
| twinhwku      |       | Twin Hawk (US)                                                              | twinhawk      | 1989  | Taito         | Taito X Syste |                                       |
| twinkle       |       | Twinkle                                                                     |               | 1997  | SemiCom       | Kaneko Pandor |                                       |
| twinspri      |       | Twinklestar Sprites                                                         |               | 1996  | ADK           | Neo Geo       |                                       |
| tws96         |       | Tecmo World Soccer '96                                                      |               | 1996  | Tecmo         | Neo Geo       |                                       |
| uecology      |       | Ultimate Ecology (931203 Japan)                                             | ecofghtr      | 1993  | Capcom        | CPS2          |                                       |
| unsquad       |       | U.N. Squadron (US)                                                          |               | 1989  | Daipro / Capc | CPS1          |                                       |
| uopokoj       |       | Uo Poko (Japan, ver. 1998 Feb 06)                                           | uopoko        | 1999  | Cave / Jaleco | Cave          |                                       |
| uopoko        |       | Puzzle Uo Poko (International)                                              |               | 1999  | Cave / Jaleco | Cave          |                                       |
| vampja        |       | Vampire - the night warriors (940705 Japan, alt)                            | dstlk         | 1994  | Capcom        | CPS2          |                                       |
| vampjr1       |       | Vampire - the night warriors (940630 Japan)                                 | dstlk         | 1994  | Capcom        | CPS2          |                                       |
| vampj         |       | Vampire - the night warriors (940705 Japan)                                 | dstlk         | 1994  | Capcom        | CPS2          |                                       |
| varthj        |       | Varth - operation thunderstorm (920714 Japan)                               | varth         | 1992  | Capcom        | CPS1          |                                       |
| varthr1       |       | Varth - operation thunderstorm (920612 etc)                                 | varth         | 1992  | Capcom        | CPS1          |                                       |
| varthu        |       | Varth - operation thunderstorm (920612 USA)                                 | varth         | 1992  | Capcom (Romst | CPS1          |                                       |
| varth         |       | Varth - operation thunderstorm (920714 etc)                                 |               | 1992  | Capcom        | CPS1          |                                       |
| vfive         |       | V-Five (Japan)                                                              |               | 1993  | Toaplan       | Toaplan GP900 | No sound (sound MCU not dumped)       |
| vhunt2r1      |       | Vampire Hunter 2 - darkstalkers revenge (970913 Japan)                      | vhunt2        | 1997  | Capcom        | CPS2          |                                       |
| vhunt2        |       | Vampire Hunter 2 - darkstalkers revenge (970929 Japan)                      |               | 1997  | Capcom        | CPS2          |                                       |
| vhuntjr1      |       | Vampire Hunter - darkstalkers' revenge (950307 Japan)                       | nwarr         | 1995  | Capcom        | CPS2          |                                       |
| vhuntjr2      |       | Vampire Hunter - darkstalkers' revenge (950302 Japan)                       | nwarr         | 1995  | Capcom        | CPS2          |                                       |
| vhuntj        |       | Vampire Hunter - darkstalkers' revenge (950316 Japan)                       | nwarr         | 1995  | Capcom        | CPS2          |                                       |
| viewpoin      |       | Viewpoint                                                                   |               | 1992  | Sammy         | Neo Geo       |                                       |
| vlinero       |       | V-Liner (set 2)                                                             | vliner        | 2001  | Dyna / Brezza | Neo Geo       |                                       |
| vliner        |       | V-Liner (set 1)                                                             |               | 2001  | Dyna / Brezza | Neo Geo       |                                       |
| vsav2         |       | Vampire Savior 2 - the lord of vampire (970913 Japan)                       |               | 1997  | Capcom        | CPS2          |                                       |
| vsava         |       | Vampire Savior - the lord of vampire (970519 Asia)                          | vsav          | 1997  | Capcom        | CPS2          |                                       |
| vsavh         |       | Vampire Savior - the lord of vampire (970519 Hispanic)                      | vsav          | 1997  | Capcom        | CPS2          |                                       |
| vsavj         |       | Vampire Savior - the lord of vampire (970519 Japan)                         | vsav          | 1997  | Capcom        | CPS2          |                                       |
| vsavu         |       | Vampire Savior - the lord of vampire (970519 USA)                           | vsav          | 1997  | Capcom        | CPS2          |                                       |
| vsav          |       | Vampire Savior - the lord of vampire (970519 Euro)                          |               | 1997  | Capcom        | CPS2          |                                       |
| wakuwak7      |       | Waku Waku 7                                                                 |               | 1996  | Sunsoft       | Neo Geo       |                                       |
| wc90a         |       | World Cup '90 (set 2)                                                       | wc90          | 1989  | Tecmo         | Miscellaneous |                                       |
| wc90t         |       | World Cup '90 (trackball)                                                   | wc90          | 1989  | Tecmo         | Miscellaneous |                                       |
| wc90          |       | World Cup '90 (set 1)                                                       |               | 1989  | Tecmo         | Miscellaneous |                                       |
| wh1h          |       | World Heroes (set 2)                                                        | wh1           | 1992  | Alpha Denshi  | Neo Geo       |                                       |
| wh1           |       | World Heroes (set 1)                                                        |               | 1992  | Alpha Denshi  | Neo Geo       |                                       |
| wh2j          |       | World Heroes 2 Jet                                                          |               | 1994  | ADK / SNK     | Neo Geo       |                                       |
| wh2           |       | World Heroes 2                                                              |               | 1993  | ADK           | Neo Geo       |                                       |
| whp           |       | World Heroes Perfect                                                        |               | 1995  | ADK / SNK     | Neo Geo       |                                       |
| wildfang      |       | Wild Fang / Tecmo Knight                                                    |               | 1989  | Tecmo         | Miscellaneous |                                       |
| willowje      |       | Willow (Japan, English)                                                     | willow        | 1989  | Capcom        | CPS1          |                                       |
| willowj       |       | Willow (Japan, Japanese)                                                    | willow        | 1989  | Capcom        | CPS1          |                                       |
| willow        |       | Willow (US)                                                                 |               | 1989  | Capcom        | CPS1          |                                       |
| wintbob       |       | The Winter Bobble (bootleg)                                                 | snowbros      | 1990  | bootleg       | Kaneko Pandor |                                       |
| wjammers      |       | Windjammers - flying disc game                                              |               | 1994  | Data East Cor | Neo Geo       |                                       |
